"","Country","hf_score_2019","hf_rank_2019","pf_religion_2019","pf_expression_2019","ef_score_2019","pf_ss_2019","hf_score_2020","hf_rank_2020","pf_religion_2020","pf_expression_2020","ef_score_2020","pf_ss_2020"
"117","Pakistan",5.48,145,5.84770833333333,4.28135010068597,6,6.72445177170762,5.44,146,5.73583333333333,4.25940681336253,6.03,6.82414815879932
"118","Panama",7.94,46,8.97791666666667,7.13351672750935,7.74,7.96470099667774,7.52,55,8.98416666666667,7.10795006084268,7.45,7.9965780730897
"119","Papua New Guinea",7.17,79,9.72625,7.76195555555555,6.01,7.97294019933555,6.98,75,9.7275,7.86925555555556,6.17,7.98829734219269
"120","Paraguay",7.46,68,8.78041666666667,6.42634318278702,7.11,8.28648671096346,7.03,72,8.78666666666667,6.01457538626301,6.96,8.22345099667774
"121","Peru",7.83,55,9.76625,8.0243714689753,7.78,8.48574305033665,7.51,56,9.75875,7.99673813564197,7.5,8.44592162176522
"122","Philippines",6.69,102,7.22666666666667,5.26825139390188,7.34,6.58546144012118,6.52,103,7.52729166666667,4.77320764375774,7.09,6.65639867404401
"123","Poland",7.92,48,8.57479166666667,7.40960179973983,7.22,9.53636627906977,7.66,49,8.55854166666667,7.5029,6.93,9.4918023255814
"124","Portugal",8.69,20,9.784375,9.810875,7.77,9.81479651162791,8.2,24,9.795,9.78833333333333,7.43,9.65505398671096
"125","Qatar",5.96,127,4.96020833333333,4.4375,7.11,9.69312124885416,5.73,129,4.79520833333333,4.40813333333333,6.99,9.65097839171131
"126","Romania",8.25,38,8.74354166666667,7.68253333333333,7.87,9.64507475083056,7.89,38,8.77791666666667,7.81033333333333,7.74,9.58796926910299
"127","Russian Federation",6.11,124,4.66770833333333,3.69228574674435,6.83,6.90126411094292,6.01,119,4.86145833333333,3.5072808698068,6.62,6.7954974488065
"128","Rwanda",6.19,119,5.04416666666667,3.06168922898145,7.25,6.99423499370806,5.93,124,5.56479166666667,2.89664444444445,6.9,7.12747365839274
"129","Saudi Arabia",4.77,157,1.73625,1.28332939490752,6.89,8.08592007177673,4.56,159,1.7125,1.29769606157419,6.78,8.03377721463388
"130","Senegal",6.9,90,9.263125,7.4428,6.26,8.46341989269154,6.7,87,9.411875,7.43956666666667,6.05,8.48895560697725
"131","Serbia",7.5,65,8.67291666666667,5.71814444444444,7.21,9.31207641196014,7.16,69,8.69416666666667,5.74521111111111,6.82,9.3837084717608
"132","Seychelles",7.91,49,8.915,7.08616666666667,7.63,8.19203972868217,7.7,44,9.056875,7.20433333333333,7.01,8.1534980620155
"133","Sierra Leone",6.47,110,8.78166666666667,6.96544444444444,5.85,9.27774338247183,6.53,102,8.82666666666667,6.95664444444444,5.98,9.21952909675755
"134","Singapore",7.86,53,7.60916666666667,4.0859200948654,8.81,9.78644102990033,7.7,44,7.37729166666667,4.0448200948654,8.48,9.8135049833887
"135","Slovak Republic",8.15,39,8.32854166666667,7.03059224714009,7.61,9.33650678294574,7.94,37,8.64854166666667,7.57669224714009,7.33,9.3728488372093
"136","Slovenia",8.33,33,9.525625,8.04855555555556,7.43,9.62719684385382,7.88,39,9.701875,7.80758888888889,7,9.66760797342193
"137","Somalia",4.71,159,3.90395833333333,2.38857273892206,6.25,5.51966365001456,4.67,158,3.69833333333333,2.91077808554499,6.03,5.39519936430027
"138","South Africa",7.15,80,8.35104166666667,7.88332222222222,6.79,4.27036022251642,6.93,77,8.50541666666667,7.89158888888889,6.55,4.38716670092173
"139","Spain",8.49,26,8.95666666666667,8.24420833333333,7.89,9.66550424968634,8.08,31,8.81229166666667,8.23516666666667,7.63,9.65246853540063
"140","Sri Lanka",6.47,110,7.36854166666667,6.9456,6.72,6.97329318936877,6.33,110,8.04791666666667,6.7704,6.72,6.85882890365449
"141","Sudan",4.04,162,5.45020833333333,4.61591111111111,3.58,6.76789281675677,4.31,160,4.90020833333333,4.60164444444444,4.21,6.79574995961391
"142","Suriname",7.51,64,9.57375,7.91770833333333,6,8.89291666666667,7.2,68,9.823125,7.909625,5.81,8.97354166666667
"143","Sweden",8.85,7,9.8775,9.79383333333333,7.7,9.80812707641196,8.66,6,9.913125,9.81033333333333,7.56,9.79711378737542
"144","Switzerland",9.17,1,9.52,9.91179166666667,8.49,9.88115448504984,8.94,1,9.52375,9.92179166666667,8.37,9.88079734219269
"145","Syrian Arab Republic",3.36,165,2.84145833333333,0.433455555555555,4.8,4.89150747508306,3.3,165,2.96333333333333,0.413655555555555,4.63,4.93132890365449
"146","Taiwan",8.8,13,9.900625,8.77681111111111,8.1,9.63456773636566,8.44,14,9.901875,8.66431111111111,7.68,9.54720099667774
"147","Tajikistan",5.44,146,2.59145833333333,3.21528888888889,6.54,7.43966491506765,5.49,141,2.34270833333333,3.02334088899293,6.6,7.52224834856127
"148","Tanzania",6.29,115,8.053125,5.11102749147799,6.58,8.02901834254632,6.24,116,7.87375,4.99849415814465,6.55,7.9604674189453
"149","Thailand",6.75,100,8.29354166666667,4.04377778179335,6.91,7.54050753737399,6.49,104,8.01854166666667,4.15615899149442,6.78,7.58933807054365
"150","Timor-Leste",7.36,72,9.509375,8.46092222222222,5.92,9.01281976744186,7.27,65,9.509375,8.36392222222222,5.94,9.00886143410853
"151","Togo",6.28,116,7.84854166666667,6.42345555555555,6.07,7.42026527472068,6.25,113,8.00354166666667,6.41312222222222,6.19,7.8795509890064
"152","Trinidad and Tobago",7.78,57,9.838125,9.38081111111111,7.22,4.67535714285714,7.53,53,9.8125,9.37651111111111,7.01,4.63517857142857
"153","Tunisia",6.3,114,6.91791666666667,6.76619590928532,5.94,8.31404968874758,6.25,113,6.99541666666667,6.76302924261866,6.09,8.35559869206984
"154","Turkey",5.63,140,3.73833333333333,2.87215752007098,6.49,7.35372305265214,5.71,130,4.17520833333333,3.015736111312,6.48,7.45045553622323
"155","Uganda",6.17,121,6.37479166666667,4.7172647064478,7.41,7.04976186709156,6.13,118,6.61791666666667,4.65149864114044,7.18,7.40672388483036
"156","Ukraine",6.77,98,7.03416666666667,5.87763054554079,6.2,7.27744912959675,6.68,89,7.31729166666667,5.99881578459985,6.11,7.53020077289953
"157","United Arab Emirates",5.89,131,6.01270833333333,2.34006872789133,7.28,8.93031976744186,5.76,127,6.00708333333333,2.58308888888889,7.35,9.11960548172758
"158","United Kingdom",8.79,15,9.5975,9.72994508723637,8.16,9.40468764934132,8.3,20,9.6,9.6534034205697,7.71,9.62129479219847
"159","United States",8.75,16,9.429375,9.52532777515169,8.25,8.85593194926843,8.23,23,9.478125,8.90481442869483,7.97,8.60451114040267
"160","Uruguay",8.4,31,9.77375,9.87473333333333,7.38,8.27482973421927,7.97,36,9.85125,9.83816666666667,7.06,8.28536544850498
"161","Venezuela, RB",3.9,164,7.01854166666667,3.76079873932384,2.87,3.371047342107,4.09,163,7.18166666666667,3.76969873932384,3.32,3.37069019924985
"162","Vietnam",5.74,134,4.29333333333333,2.33682222222222,6.4,9.12662472965434,5.64,132,3.52270833333333,1.80262222222222,6.42,9.21144615822576
"163","Yemen, Rep.",3.99,163,2.50958333333333,1.45486666666667,5.72,4.21487299810399,3.94,164,2.82083333333333,1.4142,5.67,4.14523014096113
"164","Zambia",6.6,107,7.56729166666667,4.78967882082661,6.95,8.52887864629519,6.38,109,7.02791666666667,4.85584548749327,6.56,8.3406643605809
"165","Zimbabwe",5.3,152,6.93916666666667,4.70913333333333,4.6,7.36529485049834,5.25,151,6.77979166666667,4.72196666666667,4.48,7.44297342192691
